gameorder,game_id,_iscopy,year_id,date,seasongame,is_playoffs,team_id,fran_id,pts,elo_i,elo_n,opp_id,opp_fran,opp_pts,opp_elo_i,opp_elo_n,game_location,game_result,forecast
1,201204140RIR,0,2012,04/14/2012,1,0,RIR,Rampage,23,1500.0,1476.3071535224535,CON,Constitution,29,1500.0,1523.6928464775465,H,L,0.5910755963149433
1,201204140RIR,1,2012,04/14/2012,1,0,CON,Constitution,29,1500.0,1523.6928464775465,RIR,Rampage,23,1500.0,1476.3071535224535,A,W,0.40892440368505667
2,201204140PHS,0,2012,04/14/2012,1,0,PHS,Spinners,26,1500.0,1520.3844068044268,BUF,Dragons,14,1500.0,1479.6155931955732,H,W,0.5910755963149433
2,201204140PHS,1,2012,04/14/2012,1,0,BUF,Dragons,14,1500.0,1479.6155931955732,PHS,Spinners,26,1500.0,1520.3844068044268,A,L,0.40892440368505667
3,201204140COL,0,2012,04/14/2012,1,0,COL,Cranes,22,1500.0,1505.508644473924,IND,Alleycats,21,1500.0,1494.491355526076,H,W,0.5910755963149433
3,201204140COL,1,2012,04/14/2012,1,0,IND,Alleycats,21,1500.0,1494.491355526076,COL,Cranes,22,1500.0,1505.508644473924,A,L,0.40892440368505667
4,201204140BGR,0,2012,04/14/2012,1,0,BGR,Revolution,19,1500.0,1508.7309949209744,DET,Mechanix,17,1500.0,1491.2690050790256,H,W,0.5910755963149433
4,201204140BGR,1,2012,04/14/2012,1,0,DET,Mechanix,17,1500.0,1491.2690050790256,BGR,Revolution,19,1500.0,1508.7309949209744,A,L,0.40892440368505667
5,201204210COL,0,2012,04/21/2012,2,0,COL,Cranes,19,1505.508644473924,1487.2396450940696,RIR,Rampage,22,1476.3071535224535,1494.576152902308,H,L,0.6310003936779244
5,201204210COL,1,2012,04/21/2012,2,0,RIR,Rampage,22,1476.3071535224535,1494.576152902308,COL,Cranes,19,1505.508644473924,1487.2396450940696,A,W,0.3689996063220756
6,201204210IND,0,2012,04/21/2012,2,0,IND,Alleycats,18,1494.491355526076,1481.652047020853,BGR,Revolution,20,1508.7309949209744,1521.5703034261974,H,L,0.5711252602925309
6,201204210IND,1,2012,04/21/2012,2,0,BGR,Revolution,20,1508.7309949209744,1521.5703034261974,IND,Alleycats,18,1494.491355526076,1481.652047020853,A,W,0.42887473970746914
7,201204210PHS,0,2012,04/21/2012,2,0,PHS,Spinners,22,1520.3844068044268,1536.0463975079924,CON,Constitution,16,1523.6928464775465,1508.0308557739809,H,W,0.5864644832059912
7,201204210PHS,1,2012,04/21/2012,2,0,CON,Constitution,16,1523.6928464775465,1508.0308557739809,PHS,Spinners,22,1520.3844068044268,1536.0463975079924,A,L,0.4135355167940088
8,201204220DET,0,2012,04/22/2012,2,0,DET,Mechanix,24,1491.2690050790256,1478.017444130208,RIR,Rampage,26,1494.576152902308,1507.8277138511255,H,L,0.5864662867302328
